"","Hedges","Positive.Emotion","Negative.Emotion","Impersonal.Pronoun","Swearing","Negation","Filler.Pause","Informal.Title","Formal.Title","Could.You","Can.You","By.The.Way","Let.Me.Know","Goodbye","For.Me","For.You","Reasoning","Reassurance","Ask.Agency","Give.Agency","Hello","Please","First.Person.Plural","First.Person.Single","Second.Person","Agreement","Acknowledgement","Subjectivity","Bare.Command","WH.Questions","YesNo.Questions","Gratitude","Apology","Truth.Intensifier","Affirmation","Adverb.Just","Conjunction.Start"
"88",5,9,9,11,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,5,0,0,0,1,0,0,0,1,0,0,0,1,1
"89",0,5,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",3,14,9,12,0,6,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,3,11,3,0,0,1,0,1,1,0,0,1,0,0,1
"91",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"92",1,3,7,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"93",5,41,18,50,0,14,0,0,1,0,0,0,0,0,0,0,8,0,0,5,0,0,0,15,29,0,2,2,1,1,1,0,0,5,1,5,7
"94",5,25,9,18,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,12,0,0,0,0,0,1,0,0,0,0,0,7
"95",3,12,14,29,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,18,0,0,0,0,0,0,0,0,3,0,3,3
"96",4,6,2,17,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,15,0,0,0,0,0,1,0,0,1,0,1,0
"97",1,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1
"98",1,7,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"99",0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"100",1,2,3,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"102",1,8,3,9,0,3,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,4,0
"103",0,2,2,15,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,1
"104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",0,0,3,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,1,1
"106",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"107",5,18,9,35,0,9,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,1,6,13,0,1,1,2,1,0,0,0,1,0,2,1
"108",1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1
"109",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"110",1,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"111",1,1,2,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"112",1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1
"113",0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
